text,category
txn atm txn charge,Cash Withdrawal
upi metro ticket payment ref,Transport
bank meesho online order ref,Shopping
upi online shopping payment payment,Shopping
debit metro ticket payment charge,Transport
bank unknown transaction charge,Other
txn cab booking charge txn,Transport
txn taxi fare payment payment,Transport
upi reward points credit charge,Other
card unknown transaction txn,Other
bank atm withdrawal debit payment,Cash Withdrawal
upi money sent to account charge,Transfer
debit cashback credited charge,Other
card meesho online order id,Shopping
pos cashback credited id,Other
pos atm withdrawal debit txn,Cash Withdrawal
debit atm txn payment,Cash Withdrawal
card restaurant bill payment payment,Food
txn cashback credited id,Other
debit atm wdl ref,Cash Withdrawal
bank water bill paid payment,Utilities
pos cab booking charge charge,Transport
debit ola cab ride ref,Transport
bank swiggy food order payment,Food
bank ola cab ride charge,Transport
card bank transfer debit charge,Transfer
payment food delivery charge charge,Food
upi amazon order txn,Shopping
card restaurant bill payment debit,Food
pos swiggy food order ref,Food
upi atm txn payment,Cash Withdrawal
bank swiggy food order id,Food
card cash withdrawal atm txn,Cash Withdrawal
txn atm cash withdrawal charge,Cash Withdrawal
bank zomato food order txn,Food
debit cash withdrawal atm txn,Cash Withdrawal
bank online shopping payment ref,Shopping
upi fund transfer txn,Transfer
debit mobile recharge payment ref,Utilities
pos zomato food order txn,Food
card water bill paid charge,Utilities
card myntra fashion purchase debit,Shopping
txn food delivery charge debit,Food
card lunch payment txn,Food
upi atm wdl debit,Cash Withdrawal
bank jio recharge id,Utilities
bank unknown transaction txn,Other
card atm txn charge,Cash Withdrawal
payment bus ticket debit,Transport
txn atm cash withdrawal id,Cash Withdrawal
bank gas bill transaction ref,Utilities
pos ola cab ride debit,Transport
debit myntra fashion purchase payment,Shopping
card cash withdrawal atm payment,Cash Withdrawal
pos bank transfer debit id,Transfer
bank water bill paid payment,Utilities
debit refund received ref,Other
txn cash withdrawal atm id,Cash Withdrawal
bank meesho online order ref,Shopping
pos zomato food order charge,Food
upi taxi fare payment txn,Transport
debit zomato food order id,Food
debit mobile recharge payment id,Utilities
card mobile recharge payment payment,Utilities
pos amazon order debit,Shopping
payment upi transfer to friend payment,Transfer
debit online shopping payment ref,Shopping
bank atm wdl debit,Cash Withdrawal
pos flipkart order id,Shopping
txn broadband payment ref,Utilities
card swiggy food order id,Food
card zomato food order ref,Food
payment taxi fare payment id,Transport
txn restaurant bill payment txn,Food
debit upi transfer to friend id,Transfer
debit food delivery charge debit,Food
upi mobile recharge payment id,Utilities
card atm wdl charge,Cash Withdrawal
pos upi payment to contact debit,Transfer
card auto rickshaw ride id,Transport
debit zomato food order payment,Food
pos electricity bill payment ref,Utilities
card bank transfer debit id,Transfer
pos food delivery charge charge,Food
debit metro ticket payment debit,Transport
pos bus ticket debit,Transport
card electricity bill payment id,Utilities
bank swiggy food order debit,Food
debit myntra fashion purchase payment,Shopping
bank fund transfer id,Transfer
debit imps transfer debit,Transfer
card bank transfer debit ref,Transfer
bank myntra fashion purchase id,Shopping
bank atm wdl charge,Cash Withdrawal
debit food delivery charge debit,Food
card ajio clothing order payment,Shopping
txn myntra fashion purchase txn,Shopping
debit dinner at restaurant charge,Food
bank cash withdrawn from atm txn,Cash Withdrawal
payment atm withdrawal debit charge,Cash Withdrawal
bank imps transfer charge,Transfer
debit meesho online order id,Shopping
pos uber ride charge,Transport
upi reward points credit ref,Other
txn metro ticket payment txn,Transport
card food delivery charge payment,Food
txn dinner at restaurant ref,Food
card electricity bill payment ref,Utilities
bank cafe bill payment,Food
txn bus ticket charge,Transport
payment ola cab ride txn,Transport
debit flipkart order id,Shopping
bank food delivery charge debit,Food
upi wifi bill charge,Utilities
pos electricity bill payment txn,Utilities
txn shopping mall purchase payment,Shopping
debit electricity bill payment ref,Utilities
payment atm cash withdrawal ref,Cash Withdrawal
pos cashback credited charge,Other
txn mobile recharge payment txn,Utilities
bank ola cab ride ref,Transport
bank uber ride payment,Transport
card food delivery charge debit,Food
bank zomato food order debit,Food
upi atm cash withdrawal ref,Cash Withdrawal
bank ola cab ride ref,Transport
bank meesho online order id,Shopping
pos broadband payment ref,Utilities
payment meesho online order payment,Shopping
upi imps transfer debit,Transfer
payment upi payment to contact debit,Transfer
debit meesho online order txn,Shopping
payment imps transfer txn,Transfer
upi atm cash withdrawal txn,Cash Withdrawal
card fund transfer debit,Transfer
bank cash withdrawal atm ref,Cash Withdrawal
payment flipkart order debit,Shopping
debit restaurant bill payment txn,Food
payment ola cab ride charge,Transport
payment money sent to account charge,Transfer
bank unknown transaction ref,Other
txn salary credit debit,Other
payment cashback credited payment,Other
upi atm txn debit,Cash Withdrawal
txn atm txn ref,Cash Withdrawal
card jio recharge charge,Utilities
bank cash withdrawal atm charge,Cash Withdrawal
card upi payment to contact debit,Transfer
upi refund received txn,Other
upi zomato food order payment,Food
debit broadband payment payment,Utilities
bank gas bill transaction ref,Utilities
upi reward points credit txn,Other
txn meesho online order payment,Shopping
pos restaurant bill payment id,Food
payment electricity bill payment payment,Utilities
pos atm wdl id,Cash Withdrawal
bank cash withdrawal atm id,Cash Withdrawal
upi meesho online order payment,Shopping
bank lunch payment payment,Food
bank bank transfer debit payment,Transfer
txn cash withdrawn from atm payment,Cash Withdrawal
pos upi payment to contact charge,Transfer
debit swiggy food order txn,Food
pos upi transfer to friend id,Transfer
payment atm txn ref,Cash Withdrawal
bank ola cab ride payment,Transport
bank cashback credited txn,Other
debit upi payment to contact debit,Transfer
txn mobile recharge payment ref,Utilities
card bank transfer debit id,Transfer
card auto rickshaw ride ref,Transport
pos broadband payment charge,Utilities
pos mobile recharge payment debit,Utilities
upi neft transfer txn,Transfer
pos cafe bill id,Food
card zomato food order ref,Food
payment water bill paid payment,Utilities
bank myntra fashion purchase ref,Shopping
debit gas bill transaction txn,Utilities
card metro ticket payment ref,Transport
debit online shopping payment debit,Shopping
debit taxi fare payment charge,Transport
txn restaurant bill payment ref,Food
pos myntra fashion purchase txn,Shopping
bank atm cash withdrawal payment,Cash Withdrawal
payment upi transfer to friend ref,Transfer
txn food delivery charge ref,Food
card wifi bill debit,Utilities
payment water bill paid id,Utilities
card ajio clothing order id,Shopping
txn bus ticket ref,Transport
txn dinner at restaurant charge,Food
txn fund transfer payment,Transfer
card upi transfer to friend id,Transfer
debit ola cab ride id,Transport
txn swiggy food order txn,Food
payment metro ticket payment debit,Transport
card bank transfer debit payment,Transfer
debit atm wdl debit,Cash Withdrawal
upi flipkart order id,Shopping
pos food delivery charge txn,Food
bank wifi bill txn,Utilities
card zomato food order charge,Food
txn mobile recharge payment id,Utilities
debit swiggy food order payment,Food
pos reward points credit debit,Other
debit broadband payment charge,Utilities
bank myntra fashion purchase ref,Shopping
txn meesho online order debit,Shopping
card atm txn ref,Cash Withdrawal
debit water bill paid charge,Utilities
card upi transfer to friend debit,Transfer
upi auto rickshaw ride txn,Transport
upi zomato food order ref,Food
pos atm txn payment,Cash Withdrawal
debit flipkart order charge,Shopping
bank cash withdrawal atm txn,Cash Withdrawal
card reward points credit charge,Other
bank shopping mall purchase debit,Shopping
card amazon order debit,Shopping
payment cash withdrawn from atm payment,Cash Withdrawal
payment atm withdrawal debit charge,Cash Withdrawal
debit fund transfer payment,Transfer
txn water bill paid ref,Utilities
card cashback credited charge,Other
bank cafe bill ref,Food
card taxi fare payment payment,Transport
payment bus ticket txn,Transport
bank metro ticket payment charge,Transport
card myntra fashion purchase ref,Shopping
pos neft transfer txn,Transfer
upi online shopping payment txn,Shopping
debit atm txn id,Cash Withdrawal
payment bank transfer debit charge,Transfer
payment food delivery charge txn,Food
txn wifi bill charge,Utilities
txn flipkart order charge,Shopping
txn uber ride ref,Transport
bank dinner at restaurant payment,Food
bank water bill paid payment,Utilities
upi ola cab ride charge,Transport
txn uber ride debit,Transport
bank cafe bill ref,Food
payment swiggy food order ref,Food
txn money sent to account payment,Transfer
bank metro ticket payment txn,Transport
card zomato food order debit,Food
pos atm txn charge,Cash Withdrawal
txn atm cash withdrawal id,Cash Withdrawal
bank cash withdrawal atm id,Cash Withdrawal
pos gas bill transaction ref,Utilities
txn myntra fashion purchase txn,Shopping
card shopping mall purchase payment,Shopping
debit dinner at restaurant debit,Food
upi online shopping payment txn,Shopping
bank restaurant bill payment id,Food
txn dinner at restaurant txn,Food
debit taxi fare payment id,Transport
bank cash withdrawal atm txn,Cash Withdrawal
bank uber ride id,Transport
pos neft transfer txn,Transfer
upi restaurant bill payment ref,Food
card uber ride debit,Transport
debit mobile recharge payment ref,Utilities
pos meesho online order payment,Shopping
txn online shopping payment txn,Shopping
debit amazon order debit,Shopping
payment dinner at restaurant debit,Food
debit money sent to account txn,Transfer
bank atm wdl id,Cash Withdrawal
debit amazon order debit,Shopping
card shopping mall purchase payment,Shopping
txn mobile recharge payment ref,Utilities
payment refund received id,Other
debit atm wdl txn,Cash Withdrawal
bank broadband payment txn,Utilities
txn jio recharge debit,Utilities
card food delivery charge payment,Food
upi ajio clothing order payment,Shopping
card salary credit debit,Other
bank broadband payment ref,Utilities
bank mobile recharge payment charge,Utilities
card neft transfer id,Transfer
bank cash withdrawal atm txn,Cash Withdrawal
card cash withdrawal atm charge,Cash Withdrawal
upi imps transfer id,Transfer
txn upi transfer to friend charge,Transfer
pos salary credit ref,Other
pos interest credited debit,Other
debit atm txn ref,Cash Withdrawal
pos atm withdrawal debit txn,Cash Withdrawal
debit restaurant bill payment txn,Food
payment bus ticket txn,Transport
txn atm wdl payment,Cash Withdrawal
txn uber ride id,Transport
payment zomato food order payment,Food
debit refund received txn,Other
txn auto rickshaw ride payment,Transport
bank salary credit payment,Other
upi amazon order payment,Shopping
debit neft transfer charge,Transfer
payment broadband payment txn,Utilities
debit atm wdl ref,Cash Withdrawal
pos unknown transaction id,Other
card atm wdl ref,Cash Withdrawal
card dinner at restaurant id,Food
bank fund transfer charge,Transfer
txn neft transfer charge,Transfer
txn atm withdrawal debit debit,Cash Withdrawal
debit upi payment to contact txn,Transfer
upi cash withdrawn from atm txn,Cash Withdrawal
txn cash withdrawn from atm charge,Cash Withdrawal
pos zomato food order id,Food
upi refund received id,Other
pos cashback credited debit,Other
card refund received payment,Other
payment reward points credit charge,Other
txn myntra fashion purchase ref,Shopping
pos atm cash withdrawal debit,Cash Withdrawal
txn atm withdrawal debit ref,Cash Withdrawal
txn neft transfer ref,Transfer
txn atm wdl payment,Cash Withdrawal
card atm cash withdrawal payment,Cash Withdrawal
txn taxi fare payment ref,Transport
txn flipkart order charge,Shopping
txn amazon order debit,Shopping
upi flipkart order payment,Shopping
bank bus ticket debit,Transport
txn shopping mall purchase charge,Shopping
upi upi payment to contact debit,Transfer
pos swiggy food order id,Food
card bank transfer debit id,Transfer
debit broadband payment ref,Utilities
txn atm withdrawal debit id,Cash Withdrawal
txn bank transfer debit id,Transfer
card upi payment to contact id,Transfer
bank jio recharge ref,Utilities
txn auto rickshaw ride id,Transport
payment bank transfer debit payment,Transfer
debit food delivery charge debit,Food
pos shopping mall purchase id,Shopping
payment unknown transaction charge,Other
upi lunch payment debit,Food
card restaurant bill payment charge,Food
txn lunch payment payment,Food
debit money sent to account txn,Transfer
txn shopping mall purchase id,Shopping
pos restaurant bill payment debit,Food
debit dinner at restaurant debit,Food
debit bank transfer debit payment,Transfer
bank neft transfer charge,Transfer
card ajio clothing order ref,Shopping
upi lunch payment payment,Food
txn fund transfer charge,Transfer
card restaurant bill payment txn,Food
bank interest credited txn,Other
card neft transfer debit,Transfer
card lunch payment debit,Food
pos bank transfer debit debit,Transfer
debit cash withdrawal atm payment,Cash Withdrawal
pos reward points credit ref,Other
pos upi payment to contact debit,Transfer
payment electricity bill payment charge,Utilities
upi refund received charge,Other
card upi payment to contact payment,Transfer
txn dinner at restaurant txn,Food
txn bus ticket txn,Transport
bank dinner at restaurant ref,Food
debit food delivery charge txn,Food
txn amazon order id,Shopping
card online shopping payment charge,Shopping
txn fund transfer debit,Transfer
bank bank transfer debit charge,Transfer
pos wifi bill txn,Utilities
card reward points credit id,Other
bank cash withdrawal atm ref,Cash Withdrawal
debit atm cash withdrawal debit,Cash Withdrawal
payment atm cash withdrawal id,Cash Withdrawal
txn cafe bill txn,Food
debit salary credit debit,Other
bank restaurant bill payment debit,Food
txn auto rickshaw ride txn,Transport
card upi payment to contact charge,Transfer
pos lunch payment charge,Food
bank ola cab ride id,Transport
card cash withdrawn from atm ref,Cash Withdrawal
payment salary credit txn,Other
debit cab booking charge charge,Transport
card atm withdrawal debit id,Cash Withdrawal
upi cafe bill txn,Food
payment upi payment to contact id,Transfer
payment cash withdrawal atm charge,Cash Withdrawal
payment salary credit ref,Other
card atm txn id,Cash Withdrawal
bank online shopping payment charge,Shopping
bank ajio clothing order ref,Shopping
upi auto rickshaw ride ref,Transport
payment shopping mall purchase debit,Shopping
pos online shopping payment ref,Shopping
bank salary credit txn,Other
debit cashback credited id,Other
txn bus ticket debit,Transport
txn lunch payment ref,Food
card shopping mall purchase id,Shopping
card interest credited debit,Other
bank flipkart order ref,Shopping
pos atm txn debit,Cash Withdrawal
payment flipkart order debit,Shopping
payment atm cash withdrawal ref,Cash Withdrawal
bank water bill paid ref,Utilities
card cafe bill charge,Food
debit refund received debit,Other
pos ola cab ride ref,Transport
pos reward points credit payment,Other
bank dinner at restaurant ref,Food
upi cash withdrawal atm id,Cash Withdrawal
payment cashback credited charge,Other
pos taxi fare payment charge,Transport
txn zomato food order debit,Food
pos ajio clothing order id,Shopping
debit neft transfer debit,Transfer
txn shopping mall purchase id,Shopping
bank food delivery charge txn,Food
txn jio recharge ref,Utilities
txn mobile recharge payment payment,Utilities
card upi payment to contact charge,Transfer
card dinner at restaurant payment,Food
pos dinner at restaurant charge,Food
pos amazon order debit,Shopping
debit meesho online order payment,Shopping
txn reward points credit payment,Other
pos money sent to account charge,Transfer
payment ola cab ride debit,Transport
upi lunch payment id,Food
pos mobile recharge payment charge,Utilities
upi lunch payment txn,Food
upi salary credit payment,Other
debit imps transfer payment,Transfer
card meesho online order ref,Shopping
card restaurant bill payment payment,Food
payment cafe bill charge,Food
upi salary credit payment,Other
bank atm cash withdrawal debit,Cash Withdrawal
pos bus ticket debit,Transport
bank salary credit payment,Other
debit jio recharge ref,Utilities
bank amazon order debit,Shopping
card cash withdrawal atm payment,Cash Withdrawal
card reward points credit payment,Other
bank swiggy food order ref,Food
upi cash withdrawal atm id,Cash Withdrawal
debit reward points credit payment,Other
debit ajio clothing order charge,Shopping
debit salary credit ref,Other
pos broadband payment charge,Utilities
txn fund transfer txn,Transfer
bank electricity bill payment txn,Utilities
bank flipkart order ref,Shopping
card cashback credited charge,Other
card cash withdrawal atm txn,Cash Withdrawal
payment cafe bill ref,Food
txn ola cab ride debit,Transport
pos shopping mall purchase id,Shopping
upi neft transfer id,Transfer
pos jio recharge id,Utilities
bank food delivery charge txn,Food
txn cashback credited charge,Other
bank upi payment to contact id,Transfer
payment refund received charge,Other
pos atm txn id,Cash Withdrawal
payment broadband payment payment,Utilities
payment meesho online order charge,Shopping
payment bus ticket charge,Transport
txn metro ticket payment id,Transport
upi cab booking charge payment,Transport
payment uber ride debit,Transport
card refund received debit,Other
upi electricity bill payment ref,Utilities
debit bus ticket id,Transport
debit cash withdrawn from atm txn,Cash Withdrawal
bank imps transfer txn,Transfer
card money sent to account charge,Transfer
txn cash withdrawal atm txn,Cash Withdrawal
upi atm withdrawal debit id,Cash Withdrawal
upi bank transfer debit id,Transfer
debit mobile recharge payment id,Utilities
bank upi transfer to friend txn,Transfer
upi reward points credit txn,Other
bank refund received charge,Other
debit mobile recharge payment id,Utilities
card atm txn charge,Cash Withdrawal
upi salary credit id,Other
card auto rickshaw ride id,Transport
txn amazon order debit,Shopping
card ajio clothing order id,Shopping
pos uber ride debit,Transport
payment cash withdrawn from atm txn,Cash Withdrawal
upi lunch payment debit,Food
pos salary credit payment,Other
bank upi payment to contact txn,Transfer
pos metro ticket payment charge,Transport
bank lunch payment ref,Food
debit electricity bill payment charge,Utilities
pos bus ticket ref,Transport
bank zomato food order charge,Food
debit cafe bill payment,Food
upi mobile recharge payment payment,Utilities
payment upi transfer to friend ref,Transfer
bank neft transfer ref,Transfer
txn atm txn txn,Cash Withdrawal
bank ola cab ride id,Transport
upi mobile recharge payment debit,Utilities
txn salary credit charge,Other
debit food delivery charge debit,Food
card fund transfer debit,Transfer
upi myntra fashion purchase charge,Shopping
card salary credit payment,Other
bank atm withdrawal debit payment,Cash Withdrawal
txn cashback credited ref,Other
upi meesho online order debit,Shopping
upi atm withdrawal debit charge,Cash Withdrawal
upi food delivery charge payment,Food
payment salary credit payment,Other
bank dinner at restaurant id,Food
payment cafe bill txn,Food
upi amazon order payment,Shopping
payment meesho online order charge,Shopping
txn flipkart order payment,Shopping
debit flipkart order id,Shopping
pos unknown transaction charge,Other
debit flipkart order ref,Shopping
payment bank transfer debit txn,Transfer
upi cash withdrawn from atm debit,Cash Withdrawal
txn cafe bill txn,Food
txn atm withdrawal debit charge,Cash Withdrawal
upi salary credit txn,Other
card swiggy food order debit,Food
upi myntra fashion purchase id,Shopping
txn cash withdrawn from atm debit,Cash Withdrawal
payment taxi fare payment payment,Transport
upi unknown transaction id,Other
bank restaurant bill payment payment,Food
card upi payment to contact txn,Transfer
card atm wdl txn,Cash Withdrawal
debit lunch payment txn,Food
payment dinner at restaurant charge,Food
upi interest credited payment,Other
card bank transfer debit payment,Transfer
txn atm wdl txn,Cash Withdrawal
card gas bill transaction debit,Utilities
bank restaurant bill payment charge,Food
txn ajio clothing order debit,Shopping
payment dinner at restaurant ref,Food
upi taxi fare payment ref,Transport
txn unknown transaction id,Other
debit cashback credited id,Other
txn cashback credited charge,Other
txn uber ride debit,Transport
debit cash withdrawn from atm charge,Cash Withdrawal
upi fund transfer debit,Transfer
card auto rickshaw ride txn,Transport
debit water bill paid debit,Utilities
bank gas bill transaction id,Utilities
bank ola cab ride debit,Transport
card restaurant bill payment debit,Food
payment swiggy food order id,Food
pos salary credit id,Other
txn reward points credit debit,Other
card cafe bill debit,Food
card atm withdrawal debit txn,Cash Withdrawal
